,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
389,lavrentiya,100,RU,1599087387,76,65.58,-171.0,41.14,7.74
390,shar,0,KZ,1599086824,30,49.59,81.05,67.08,9.44
391,majene,100,ID,1599087387,87,-3.54,118.97,77.29,6.89
392,urucui,0,BR,1599087388,30,-7.23,-44.56,83.39,9.19
393,kaitangata,15,NZ,1599087388,62,-46.28,169.85,51.01,5.01
394,merauke,71,ID,1599087306,78,-8.47,140.33,80.51,13.24
395,dno,85,RU,1599087389,83,57.83,29.96,56.19,5.95
396,resistencia,90,AR,1599087389,66,-27.46,-58.98,53.6,9.17
397,baykit,43,RU,1599087389,86,61.67,96.37,43.9,3.91
398,caxias,0,PT,1599087389,40,38.7,-9.28,73.4,5.82
399,vila velha,0,PT,1599086568,77,42.03,-8.16,68.0,3.36
400,sorland,87,NO,1599087390,71,67.67,12.69,56.93,19.17
401,cosala,84,MX,1599087390,80,24.41,-106.69,87.01,7.0
402,dhing,61,IN,1599087390,85,26.47,92.47,79.18,4.16
403,tarakan,95,ID,1599087305,84,3.3,117.63,78.69,6.91
404,merrill,1,US,1599086804,40,45.18,-89.68,75.2,10.29
405,kaniama,17,CD,1599087391,48,-7.57,24.18,69.98,1.83
406,adelanto,0,US,1599087303,12,34.58,-117.41,100.0,1.99
407,wageningen,90,NL,1599087391,93,51.97,5.67,57.99,2.24
408,bud,1,US,1599087391,73,39.45,-86.18,78.01,4.7
409,fortuna,1,US,1599087392,72,40.6,-124.16,68.0,11.41
410,storforshei,36,NO,1599087392,70,66.4,14.52,50.81,6.53
411,jos,87,NG,1599087392,98,9.92,8.9,63.9,1.23
412,iquique,20,CL,1599086827,63,-20.22,-70.14,60.8,16.11
413,san vicente,100,ML,1599087392,85,13.3,-4.9,77.13,9.73
414,tornio,0,FI,1599087392,100,65.85,24.15,46.4,3.36
415,saint-pierre,40,RE,1599087393,68,-21.34,55.48,66.2,5.82
416,waipawa,3,NZ,1599087393,61,-41.41,175.52,51.01,17.22
417,necochea,100,AR,1599087393,89,-38.55,-58.74,46.99,6.22
418,viedma,0,AR,1599087385,54,-40.81,-63.0,48.99,1.01
419,buin,4,CL,1599087393,48,-33.73,-70.75,60.8,3.49
420,ust-kuyga,0,RU,1599087394,62,70.02,135.6,43.56,2.95
421,central point,1,US,1599087394,52,30.55,-91.04,95.0,10.29
422,harnosand,11,SE,1599087394,100,62.63,17.94,50.0,3.36
423,scarborough,100,GB,1599087394,93,54.28,-0.4,57.99,4.0
424,narsaq,11,GL,1599087394,43,60.92,-46.05,50.0,3.36
425,zhangjiakou,2,CN,1599087394,63,40.81,114.88,54.95,7.45
426,tefe,90,BR,1599087395,83,-3.35,-64.71,78.8,3.36
427,vanimo,31,PG,1599087395,70,-2.67,141.3,82.53,4.88
428,dengfeng,0,CN,1599087395,70,34.46,113.03,66.02,5.79
429,gamba,100,GA,1599086503,88,-2.65,10.0,73.11,6.26
430,ust-omchug,100,RU,1599087395,68,61.15,149.63,46.38,3.27
431,pijijiapan,87,MX,1599087396,75,15.7,-93.23,82.78,5.26
432,mitu,92,CO,1599087396,87,1.2,-70.17,75.79,1.74
433,kungurtug,34,RU,1599087396,82,50.6,97.52,44.74,1.34
434,buchanan,75,LR,1599087396,94,5.88,-10.05,77.0,8.43
435,correntina,0,BR,1599087396,39,-13.34,-44.64,72.9,5.82
436,salinas,1,US,1599086807,56,36.68,-121.66,71.6,12.75
437,moussoro,82,TD,1599087397,68,13.64,16.49,82.9,6.89
438,jalu,0,LY,1599087143,21,29.03,21.55,84.2,5.12
439,coquimbo,0,CL,1599087397,82,-29.95,-71.34,55.4,16.11
440,ambon,40,ID,1599087397,94,-3.7,128.18,79.0,5.82
441,sena madureira,100,TH,1599087397,94,14.33,100.4,86.0,0.89
442,waingapu,79,ID,1599087398,80,-9.66,120.26,77.95,7.85
443,kenitra,40,MA,1599087398,93,34.26,-6.58,62.6,3.36
444,shamsabad,75,IN,1599087398,100,27.02,78.13,82.4,2.24
445,comodoro rivadavia,14,BR,1599086805,24,-13.66,-59.79,78.98,2.84
446,danjiangkou,0,CN,1599087398,58,32.54,111.51,67.64,6.44
447,dagana,34,MR,1599087398,83,16.52,-15.51,82.4,2.24
448,mackenzie,90,CA,1599087399,55,55.3,-123.17,60.8,3.36
449,payakumbuh,92,ID,1599087399,87,-0.22,100.63,69.31,1.72
450,shelburne,20,CA,1599087399,53,44.08,-80.2,75.2,10.29
451,nelson bay,36,NZ,1599087399,64,-41.28,173.28,52.0,1.99
452,srednekolymsk,77,RU,1599087399,70,67.45,153.68,43.47,8.66
453,plettenberg bay,6,DE,1599087400,89,51.22,7.88,54.0,2.46
454,kinshasa,62,CD,1599087238,69,-4.32,15.32,78.96,2.57
455,lazaro cardenas,3,DO,1599087400,65,19.46,-71.33,87.01,3.0
456,athens,0,GR,1599087108,57,37.98,23.72,82.99,2.17
457,coahuayana,75,MX,1599087121,83,18.73,-103.68,80.6,11.41
458,marystown,73,CA,1599087400,100,47.17,-55.15,59.0,1.01
459,saint-louis,30,SN,1599086841,83,16.33,-15.0,82.4,2.24
460,letlhakane,0,BW,1599087401,76,-21.42,25.58,57.74,16.11
461,whitehorse,75,CA,1599086831,47,60.72,-135.05,55.4,6.93
462,chernyshevskiy,90,RU,1599087401,97,63.01,112.47,49.96,7.7
463,maniitsoq,82,GL,1599087401,62,65.42,-52.9,44.47,8.57
464,prokuplje,49,RS,1599087401,63,43.23,21.59,62.6,1.12
465,giyon,36,ET,1599087401,88,8.53,37.98,56.19,1.05
466,chara,0,RU,1599087402,61,56.91,118.26,55.76,0.18
467,tura,7,IN,1599087402,95,25.52,90.22,72.91,3.38
468,masuda,75,JP,1599087402,74,34.67,131.85,82.4,26.4
469,killybegs,79,IE,1599087402,92,54.63,-8.45,57.99,7.0
470,basoko,99,CD,1599087402,95,1.24,23.62,71.1,3.06
471,mersing,87,MY,1599087403,94,2.43,103.84,75.2,5.82
472,nanchang,0,CN,1599087403,71,28.68,115.88,75.24,5.3
473,micheweni,0,TZ,1599087403,81,-4.97,39.83,74.59,9.93
474,huambo,81,AO,1599087403,73,-12.78,15.74,60.64,1.19
475,cadiz,0,ES,1599087403,64,36.5,-5.75,71.6,3.36
476,erdenet,81,MN,1599087404,70,49.03,104.08,52.11,3.18
477,oranjemund,0,NA,1599087404,62,-28.55,16.43,53.55,5.41
478,shingu,75,JP,1599087404,88,33.73,135.98,82.4,20.8
479,urucara,3,BR,1599087404,42,-2.54,-57.76,85.5,2.15
480,marzuq,13,YE,1599087404,43,14.4,46.47,82.69,4.0
481,praia,20,CV,1599087405,78,14.92,-23.51,80.6,18.34
482,luruaco,75,CO,1599087405,66,10.61,-75.14,86.0,3.36
483,jacareacanga,0,BR,1599087405,34,-6.22,-57.75,84.52,1.59
484,alencon,97,FR,1599087405,55,48.43,0.08,66.2,1.12
485,san jose,100,ML,1599086573,85,13.3,-4.9,77.13,9.73
486,wenzhou,1,CN,1599087218,63,28.0,120.67,80.37,4.34
487,grindavik,75,IS,1599087406,87,63.84,-22.43,46.4,24.16
488,ossora,94,RU,1599086816,61,59.24,163.07,53.85,4.32
489,bayburt,11,TR,1599087406,74,40.26,40.23,56.32,1.9
490,ishigaki,75,JP,1599086829,100,24.34,124.16,82.4,9.17
491,beri,64,IN,1599087406,82,25.9,79.89,79.29,3.83
492,svetlogorsk,88,BY,1599087406,67,52.63,29.73,66.58,4.54
493,belyy,87,RU,1599087407,81,55.84,32.94,57.58,10.11
494,laramie,1,US,1599087407,9,41.31,-105.59,81.0,26.4
495,hami,0,CN,1599087407,19,42.8,93.45,74.37,8.55
496,tezu,80,IN,1599087407,72,27.92,96.17,77.11,2.53
497,lata,0,PT,1599087407,87,40.16,-8.33,66.99,1.12
498,poronaysk,100,RU,1599087407,94,49.22,143.12,62.82,1.66
499,peterhead,90,GB,1599087408,93,57.51,-1.8,59.0,5.82
500,anchorage,90,US,1599087346,76,61.22,-149.9,57.0,4.7
501,halkirk,7,CA,1599087408,55,52.28,-112.15,61.0,20.0
502,alofi,40,NU,1599087408,74,-19.06,-169.92,84.2,10.29
503,casambalangan,100,PH,1599087408,81,18.38,122.13,81.72,1.88
504,natal,20,BR,1599087147,83,-5.79,-35.21,75.2,11.41
505,guadalajara,20,MX,1599087301,39,20.67,-103.33,87.01,5.82
506,hovd,0,MN,1599087409,37,48.01,91.64,57.63,1.99
507,teya,52,RU,1599087409,91,60.38,92.63,43.61,3.44
508,nishihara,75,JP,1599087409,94,26.18,127.76,82.4,5.82
509,jiquipilas,40,MX,1599087409,46,16.67,-93.65,91.4,2.24
510,tal,35,PK,1599087410,62,35.48,72.24,57.7,1.07
511,trimbak,100,IN,1599087410,98,19.93,73.55,68.65,1.3
512,kibala,100,TD,1599087410,96,9.11,18.35,71.8,3.44
513,sol-iletsk,0,RU,1599087410,70,51.16,54.99,54.45,18.23
514,thinadhoo,99,MV,1599087410,76,0.53,72.93,82.04,13.15
515,dali,72,CN,1599087410,83,25.7,100.18,60.85,3.22
516,bonthe,88,SL,1599087411,81,7.53,-12.51,76.59,8.59
517,wasilla,20,US,1599087411,71,61.58,-149.44,57.2,4.7
